NO_OF_FRAMES	8444
NO_OF_CAMERAS	8
NO_OF_MARKERS	1
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-10, 12:21:36.594	1963.39651480
DATA_INCLUDED	3D
MARKER_NAMES	marker
Frame	Time	marker X	marker Y	marker Z	
368	2.44667	549.715	70.977	22.332
369	2.45333	549.654	70.962	22.300
370	2.46000	549.647	71.009	22.288
371	2.46667	549.631	71.011	22.239
372	2.47333	549.555	71.010	22.199
373	2.48000	549.579	70.971	22.331
374	2.48667	549.565	70.871	22.361
375	2.49333	549.597	70.918	22.375
376	2.50000	549.547	70.847	22.419
377	2.50667	549.502	70.834	22.396
378	2.51333	549.496	70.879	22.360
379	2.52000	549.491	70.871	22.254
380	2.52667	549.558	70.897	22.323
381	2.53333	549.581	70.985	22.303
382	2.54000	549.571	70.967	22.268
383	2.54667	549.565	70.956	22.159
384	2.55333	549.637	70.913	22.284
385	2.56000	549.635	70.885	22.315
386	2.56667	549.676	70.823	22.392
387	2.57333	549.621	70.808	22.438
388	2.58000	549.667	70.852	22.411
389	2.58667	549.701	70.870	22.434
390	2.59333	549.673	70.899	22.389
391	2.60000	549.692	70.998	22.357
392	2.60667	549.702	71.055	22.266
393	2.61333	549.699	71.079	22.343
394	2.62000	550.007	71.001	22.076
395	2.62667	550.022	71.016	22.131
396	2.63333	549.988	70.957	22.143
397	2.64000	550.012	70.913	22.183
398	2.64667	550.024	70.971	22.097
399	2.65333	550.026	70.962	22.208
400	2.66000	550.027	70.954	22.213
401	2.66667	550.103	71.036	22.086
402	2.67333	550.081	71.032	22.071
403	2.68000	550.100	71.099	21.992
404	2.68667	550.112	71.112	21.961
405	2.69333	550.132	71.168	21.962
406	2.70000	550.085	71.153	21.983
407	2.70667	550.039	71.102	21.999
408	2.71333	550.000	71.088	22.080
409	2.72000	549.959	71.044	22.077
410	2.72667	549.948	71.069	22.122
411	2.73333	549.912	71.086	22.129
412	2.74000	549.869	71.075	22.137
413	2.74667	549.854	71.108	22.069
414	2.75333	549.922	71.179	21.992
415	2.76000	549.897	71.166	22.020
416	2.76667	549.897	71.171	21.999
417	2.77333	549.881	71.148	22.007
418	2.78000	549.892	71.159	22.166
419	2.78667	549.831	71.070	22.073
420	2.79333	549.820	71.031	22.102
421	2.80000	549.785	71.010	22.134
422	2.80667	549.757	70.977	22.229
423	2.81333	549.745	70.967	22.141
424	2.82000	549.810	70.989	22.158
425	2.82667	549.815	70.970	22.233
426	2.83333	549.823	71.021	22.146
427	2.84000	549.831	70.998	22.208
428	2.84667	549.784	70.963	22.080
429	2.85333	549.804	70.995	22.061
430	2.86000	549.789	70.906	22.196
431	2.86667	549.757	70.848	22.260
432	2.87333	549.787	70.889	22.146
433	2.88000	549.804	70.817	22.275
434	2.88667	549.743	70.796	22.265
435	2.89333	549.717	70.759	22.267
436	2.90000	549.811	70.852	22.224
437	2.90667	549.807	70.890	22.189
438	2.91333	549.808	70.891	22.189
439	2.92000	549.846	70.934	22.151
440	2.92667	549.768	70.912	22.184
441	2.93333	549.776	70.873	22.238
442	2.94000	549.753	70.912	22.216
443	2.94667	549.749	70.856	22.277
444	2.95333	549.686	70.852	22.291
445	2.96000	549.751	70.841	22.300
446	2.96667	549.684	70.882	22.277
447	2.97333	549.705	70.945	22.150
448	2.98000	549.700	70.910	22.252
449	2.98667	549.741	71.017	22.239
450	2.99333	549.774	71.021	22.193
451	3.00000	549.738	71.055	22.220
452	3.00667	549.683	71.042	22.244
453	3.01333	549.699	71.070	22.219
454	3.02000	549.650	71.023	22.274
455	3.02667	549.676	71.044	22.308
456	3.03333	549.633	71.038	22.166
457	3.04000	549.675	71.076	22.277
458	3.04667	549.662	71.059	22.192
459	3.05333	549.692	71.107	22.140
460	3.06000	549.628	71.102	22.120
461	3.06667	549.661	71.183	22.095
462	3.07333	549.679	71.144	22.079
463	3.08000	549.709	71.135	22.113
464	3.08667	549.751	71.188	22.106
465	3.09333	549.736	71.182	22.253
466	3.10000	549.666	71.052	22.198
467	3.10667	549.698	71.062	22.165
468	3.11333	549.693	71.071	22.237
469	3.12000	549.718	71.085	22.156
470	3.12667	549.721	71.058	22.181
471	3.13333	549.755	71.085	22.149
472	3.14000	549.781	71.165	22.138
473	3.14667	549.709	71.082	22.130
474	3.15333	549.706	71.105	22.097
475	3.16000	549.737	71.097	22.143
476	3.16667	549.749	71.092	22.184
477	3.17333	549.706	71.070	22.186
478	3.18000	549.671	71.009	22.345
479	3.18667	549.678	70.986	22.261
480	3.19333	549.681	70.976	22.237
481	3.20000	549.653	71.003	22.351
482	3.20667	549.685	71.016	22.295
483	3.21333	549.633	70.976	22.293
484	3.22000	549.730	71.008	22.219
485	3.22667	549.675	71.064	22.254
486	3.23333	549.627	71.001	22.242
487	3.24000	549.589	71.009	22.266
488	3.24667	549.567	70.943	22.152
489	3.25333	549.557	70.950	22.186
490	3.26000	549.524	70.926	22.354
491	3.26667	549.476	70.912	22.328
492	3.27333	549.538	70.958	22.326
493	3.28000	549.512	70.929	22.311
494	3.28667	549.594	70.937	22.298
495	3.29333	549.565	70.987	22.154
496	3.30000	549.596	70.959	22.229
497	3.30667	549.621	71.062	22.218
498	3.31333	549.649	71.098	22.128
499	3.32000	549.628	71.138	22.119
500	3.32667	549.678	71.262	22.132
501	3.33333	549.753	71.317	22.184
502	3.34000	549.816	71.406	22.157
503	3.34667	549.740	71.327	22.115
504	3.35333	549.741	71.376	22.112
505	3.36000	549.839	71.425	22.087
506	3.36667	549.809	71.410	22.059
507	3.37333	549.830	71.414	22.049
508	3.38000	549.888	71.523	22.028
509	3.38667	549.915	71.475	22.050
510	3.39333	549.934	71.472	22.041
511	3.40000	549.976	71.542	22.048
512	3.40667	549.981	71.473	22.072
513	3.41333	549.981	71.445	22.083
514	3.42000	549.989	71.476	22.089
515	3.42667	550.045	71.528	22.085
516	3.43333	550.030	71.485	22.080
517	3.44000	550.097	71.550	22.023
518	3.44667	550.139	71.627	22.001
519	3.45333	550.216	71.575	21.986
520	3.46000	550.288	71.541	21.961
521	3.46667	550.325	71.480	21.942
522	3.47333	550.302	71.396	22.028
523	3.48000	550.255	71.310	22.051
524	3.48667	550.307	71.220	22.154
525	3.49333	550.257	71.161	22.143
526	3.50000	550.217	71.098	22.159
527	3.50667	550.187	71.002	22.260
528	3.51333	550.118	70.897	22.242
529	3.52000	550.103	70.888	22.271
530	3.52667	550.159	70.856	22.339
531	3.53333	550.063	70.776	22.411
532	3.54000	549.992	70.734	22.754
533	3.54667	549.997	70.719	23.422
534	3.55333	549.953	70.736	24.174
535	3.56000	549.643	70.989	25.616
