NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
215	1.42667	967.172	289.864	83.718	0.000	0.000	0.000	0.000	0.000	0.000
216	1.43333	967.188	289.849	83.751	0.000	0.000	0.000	0.000	0.000	0.000
217	1.44000	967.169	289.873	83.736	0.000	0.000	0.000	0.000	0.000	0.000
218	1.44667	967.170	289.876	83.744	0.000	0.000	0.000	0.000	0.000	0.000
219	1.45333	967.144	289.862	83.759	0.000	0.000	0.000	0.000	0.000	0.000
220	1.46000	967.096	289.905	83.783	0.000	0.000	0.000	0.000	0.000	0.000
221	1.46667	967.086	289.963	83.868	0.000	0.000	0.000	0.000	0.000	0.000
222	1.47333	967.034	289.991	83.868	0.000	0.000	0.000	0.000	0.000	0.000
223	1.48000	967.005	289.941	83.811	0.000	0.000	0.000	0.000	0.000	0.000
224	1.48667	966.967	290.034	83.868	0.000	0.000	0.000	0.000	0.000	0.000
225	1.49333	966.907	290.044	83.913	0.000	0.000	0.000	0.000	0.000	0.000
226	1.50000	966.857	290.025	83.893	0.000	0.000	0.000	0.000	0.000	0.000
227	1.50667	966.819	290.021	83.912	0.000	0.000	0.000	0.000	0.000	0.000
228	1.51333	966.749	290.069	83.943	0.000	0.000	0.000	0.000	0.000	0.000
229	1.52000	966.690	290.063	83.948	0.000	0.000	0.000	0.000	0.000	0.000
230	1.52667	966.672	290.075	83.992	0.000	0.000	0.000	0.000	0.000	0.000
231	1.53333	966.576	290.093	84.053	0.000	0.000	0.000	0.000	0.000	0.000
232	1.54000	966.532	290.096	84.026	0.000	0.000	0.000	0.000	0.000	0.000
233	1.54667	966.486	290.096	84.023	0.000	0.000	0.000	0.000	0.000	0.000
234	1.55333	966.473	290.107	84.060	0.000	0.000	0.000	0.000	0.000	0.000
235	1.56000	966.430	290.112	84.058	0.000	0.000	0.000	0.000	0.000	0.000
236	1.56667	966.404	290.094	84.059	0.000	0.000	0.000	0.000	0.000	0.000
237	1.57333	966.391	290.112	84.056	0.000	0.000	0.000	0.000	0.000	0.000
238	1.58000	966.397	290.095	84.097	0.000	0.000	0.000	0.000	0.000	0.000
239	1.58667	966.386	290.095	84.102	0.000	0.000	0.000	0.000	0.000	0.000
240	1.59333	966.402	290.075	84.115	0.000	0.000	0.000	0.000	0.000	0.000
241	1.60000	966.379	290.115	84.121	0.000	0.000	0.000	0.000	0.000	0.000
242	1.60667	966.408	290.092	84.127	0.000	0.000	0.000	0.000	0.000	0.000
243	1.61333	966.395	290.079	84.100	0.000	0.000	0.000	0.000	0.000	0.000
244	1.62000	966.406	290.087	84.090	0.000	0.000	0.000	0.000	0.000	0.000
